Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
3.0,Sat,2023-09-02,15:30,Augsburg,1.9,2–2,1.6,Bochum,27424.0,WWK Arena,Martin Petersen,Match Report,,2024
3.0,Sat,2023-09-02,15:30,Stuttgart,1.7,5–0,1.0,Freiburg,54300.0,MHPArena,Felix Brych,Match Report,,2024
3.0,Sat,2023-09-02,18:30,M'Gladbach,0.3,1–2,2.4,Bayern Munich,54042.0,Stadion im Borussia-Park,Deniz Aytekin,Match Report,,2024
3.0,Sun,2023-09-03,15:30,Eint Frankfurt,1.1,1–1,0.9,Köln,54000.0,Deutsche Bank Park,Florian Badstübner,Match Report,,2024
3.0,Sun,2023-09-03,17:30,Union Berlin,0.3,0–3,1.2,RB Leipzig,22012.0,Stadion An der Alten Försterei,Daniel Schlager,Match Report,,2024
,,,,,,,,,,,,,,2024
4.0,Fri,2023-09-15,20:30,Bayern Munich,2.1,2–2,2.1,Leverkusen,75000.0,Allianz Arena,Daniel Schlager,Match Report,,2024
4.0,Sat,2023-09-16,15:30,Wolfsburg,0.4,2–1,1.1,Union Berlin,21917.0,Volkswagen Arena,Felix Brych,Match Report,,2024
4.0,Sat,2023-09-16,15:30,Mainz 05,0.9,1–3,1.6,Stuttgart,30500.0,Mewa Arena,Harm Osmers,Match Report,,2024
4.0,Sat,2023-09-16,15:30,Freiburg,1.0,2–4,2.3,Dortmund,34700.0,Europa-Park Stadion,Tobias Stieler,Match Report,,2024
4.0,Sat,2023-09-16,15:30,Köln,1.0,1–3,1.0,Hoffenheim,49300.0,RheinEnergieSTADION,Daniel Siebert,Match Report,,2024
4.0,Sat,2023-09-16,15:30,RB Leipzig,1.1,3–0,1.7,Augsburg,44746.0,Red Bull Arena,Sascha Stegemann,Match Report,,2024
4.0,Sat,2023-09-16,18:30,Bochum,2.0,1–1,0.6,Eint Frankfurt,26000.0,Vonovia Ruhrstadion,Benjamin Brand,Match Report,,2024
4.0,Sun,2023-09-17,15:30,Heidenheim,2.2,4–2,3.0,Werder Bremen,15000.0,Voith-Arena,Patrick Ittrich,Match Report,,2024
4.0,Sun,2023-09-17,17:30,Darmstadt 98,1.2,3–3,3.9,M'Gladbach,17810.0,Merck-Stadion am Böllenfalltor,Timo Gerach,Match Report,,2024
,,,,,,,,,,,,,,2024
5.0,Fri,2023-09-22,20:30,Stuttgart,2.3,3–1,0.2,Darmstadt 98,54000.0,MHPArena,Matthias Jöllenbeck,Match Report,,2024
5.0,Sat,2023-09-23,15:30,Bayern Munich,4.8,7–0,0.1,Bochum,75000.0,Allianz Arena,Robert Hartmann,Match Report,,2024
5.0,Sat,2023-09-23,15:30,Union Berlin,1.6,0–2,2.0,Hoffenheim,20000.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,,2024
5.0,Sat,2023-09-23,15:30,Augsburg,0.8,2–1,0.6,Mainz 05,27310.0,WWK Arena,Marco Fritz,Match Report,,2024
5.0,Sat,2023-09-23,15:30,Dortmund,1.7,1–0,0.5,Wolfsburg,81365.0,Signal Iduna Park,Sven Jablonski,Match Report,,2024
5.0,Sat,2023-09-23,15:30,M'Gladbach,0.8,0–1,0.7,RB Leipzig,50122.0,Stadion im Borussia-Park,Robert Schröder,Match Report,,2024
5.0,Sat,2023-09-23,18:30,Werder Bremen,2.1,2–1,1.3,Köln,42100.0,Wohninvest Weserstadion,Bastian Dankert,Match Report,,2024
5.0,Sun,2023-09-24,15:30,Leverkusen,3.4,4–1,0.5,Heidenheim,29557.0,BayArena,Christian Dingert,Match Report,,2024
5.0,Sun,2023-09-24,17:30,Eint Frankfurt,0.6,0–0,0.5,Freiburg,55800.0,Deutsche Bank Park,Felix Zwayer,Match Report,,2024
,,,,,,,,,,,,,,2024
6.0,Fri,2023-09-29,20:30,Hoffenheim,1.9,1–3,1.6,Dortmund,30150.0,PreZero Arena,Florian Badstübner,Match Report,,2024
6.0,Sat,2023-09-30,15:30,Köln,0.7,0–2,2.5,Stuttgart,50000.0,RheinEnergieSTADION,Tobias Stieler,Match Report,,2024
6.0,Sat,2023-09-30,15:30,Heidenheim,0.8,1–0,2.2,Union Berlin,15000.0,Voith-Arena,Sascha Stegemann,Match Report,,2024
6.0,Sat,2023-09-30,15:30,Wolfsburg,3.2,2–0,1.3,Eint Frankfurt,28323.0,Volkswagen Arena,Frank Willenborg,Match Report,,2024
6.0,Sat,2023-09-30,15:30,Bochum,1.7,1–3,2.9,M'Gladbach,26000.0,Vonovia Ruhrstadion,Felix Brych,Match Report,,2024
6.0,Sat,2023-09-30,15:30,Mainz 05,0.5,0–3,1.1,Leverkusen,33305.0,Mewa Arena,Benjamin Brand,Match Report,,2024
6.0,Sat,2023-09-30,18:30,RB Leipzig,0.7,2–2,2.3,Bayern Munich,47069.0,Red Bull Arena,Marco Fritz,Match Report,,2024
6.0,Sun,2023-10-01,15:30,Darmstadt 98,2.4,4–2,1.5,Werder Bremen,17810.0,Merck-Stadion am Böllenfalltor,Martin Petersen,Match Report,,2024
6.0,Sun,2023-10-01,17:30,Freiburg,1.0,2–0,0.8,Augsburg,33134.0,Europa-Park Stadion,Harm Osmers,Match Report,,2024
,,,,,,,,,,,,,,2024
7.0,Fri,2023-10-06,20:30,M'Gladbach,2.3,2–2,0.8,Mainz 05,51529.0,Stadion im Borussia-Park,Sven Jablonski,Match Report,,2024
