Wk,Day,Date,Time,Home,xG,Score,xG.1,Away,Attendance,Venue,Referee,Match Report,Notes,Season
19.0,Sun,2024-01-28,17:30,Dortmund,2.9,3–1,0.5,Bochum,81365.0,Signal Iduna Park,Benjamin Brand,Match Report,,2024
,,,,,,,,,,,,,,2024
20.0,Fri,2024-02-02,20:30,Heidenheim,1.2,0–0,0.6,Dortmund,15000.0,Voith-Arena,Bastian Dankert,Match Report,,2024
20.0,Sat,2024-02-03,15:30,Freiburg,0.7,1–3,1.7,Stuttgart,34700.0,Europa-Park Stadion,Daniel Siebert,Match Report,,2024
20.0,Sat,2024-02-03,15:30,Bayern Munich,2.1,3–1,1.0,M'Gladbach,75000.0,Allianz Arena,Tobias Stieler,Match Report,,2024
20.0,Sat,2024-02-03,15:30,Mainz 05,0.8,0–1,0.6,Werder Bremen,31800.0,Mewa Arena,Benjamin Brand,Match Report,,2024
20.0,Sat,2024-02-03,15:30,Darmstadt 98,0.6,0–2,1.9,Leverkusen,17810.0,Merck-Stadion am Böllenfalltor,Tobias Reichel,Match Report,,2024
20.0,Sat,2024-02-03,15:30,Bochum,0.9,1–1,1.6,Augsburg,24500.0,Vonovia Ruhrstadion,Patrick Ittrich,Match Report,,2024
20.0,Sat,2024-02-03,18:30,Köln,1.3,2–0,0.8,Eint Frankfurt,50000.0,RheinEnergieSTADION,Timo Gerach,Match Report,,2024
20.0,Sun,2024-02-04,15:30,Wolfsburg,1.7,2–2,1.7,Hoffenheim,22917.0,Volkswagen Arena,Florian Badstübner,Match Report,,2024
20.0,Sun,2024-02-04,17:30,RB Leipzig,1.1,2–0,0.5,Union Berlin,44032.0,Red Bull Arena,Marco Fritz,Match Report,,2024
,,,,,,,,,,,,,,2024
18.0,Wed,2024-02-07,18:30,Mainz 05,1.3,1–1,1.0,Union Berlin,26200.0,Mewa Arena,Martin Petersen,Match Report,,2024
,,,,,,,,,,,,,,2024
21.0,Fri,2024-02-09,20:30,Dortmund,1.9,3–0,0.3,Freiburg,81365.0,Signal Iduna Park,Harm Osmers,Match Report,,2024
21.0,Sat,2024-02-10,15:30,Werder Bremen,1.7,1–2,1.8,Heidenheim,41000.0,Wohninvest Weserstadion,Robert Schröder,Match Report,,2024
21.0,Sat,2024-02-10,15:30,Union Berlin,0.5,1–0,1.3,Wolfsburg,22000.0,Stadion An der Alten Försterei,Matthias Jöllenbeck,Match Report,,2024
21.0,Sat,2024-02-10,15:30,M'Gladbach,1.5,0–0,0.7,Darmstadt 98,46121.0,Stadion im Borussia-Park,Sascha Stegemann,Match Report,,2024
21.0,Sat,2024-02-10,15:30,Eint Frankfurt,2.4,1–1,1.5,Bochum,57500.0,Deutsche Bank Park,Sven Jablonski,Match Report,,2024
21.0,Sat,2024-02-10,15:30,Augsburg,0.7,2–2,1.3,RB Leipzig,28510.0,WWK Arena,Benjamin Brand,Match Report,,2024
21.0,Sat,2024-02-10,18:30,Leverkusen,1.3,3–0,0.6,Bayern Munich,30210.0,BayArena,Felix Zwayer,Match Report,,2024
21.0,Sun,2024-02-11,15:30,Stuttgart,1.9,3–1,1.4,Mainz 05,52005.0,MHPArena,Deniz Aytekin,Match Report,,2024
21.0,Sun,2024-02-11,17:30,Hoffenheim,1.2,1–1,0.1,Köln,23020.0,PreZero Arena,Christian Dingert,Match Report,,2024
,,,,,,,,,,,,,,2024
22.0,Fri,2024-02-16,20:30,Köln,0.8,0–1,1.8,Werder Bremen,50000.0,RheinEnergieSTADION,Daniel Siebert,Match Report,,2024
22.0,Sat,2024-02-17,15:30,Mainz 05,2.1,1–0,1.0,Augsburg,24800.0,Mewa Arena,Tobias Reichel,Match Report,,2024
22.0,Sat,2024-02-17,15:30,Hoffenheim,1.0,0–1,1.4,Union Berlin,19050.0,PreZero Arena,Robert Hartmann,Match Report,,2024
22.0,Sat,2024-02-17,15:30,Darmstadt 98,1.7,1–2,1.6,Stuttgart,17810.0,Merck-Stadion am Böllenfalltor,Tobias Welz,Match Report,,2024
22.0,Sat,2024-02-17,15:30,Wolfsburg,1.8,1–1,1.4,Dortmund,28917.0,Volkswagen Arena,Martin Petersen,Match Report,,2024
22.0,Sat,2024-02-17,15:30,Heidenheim,0.4,1–2,1.9,Leverkusen,15000.0,Voith-Arena,Harm Osmers,Match Report,,2024
22.0,Sat,2024-02-17,18:30,RB Leipzig,1.7,2–0,0.7,M'Gladbach,44822.0,Red Bull Arena,Sören Storks,Match Report,,2024
22.0,Sun,2024-02-18,15:30,Freiburg,2.2,3–3,1.0,Eint Frankfurt,34700.0,Europa-Park Stadion,Tobias Stieler,Match Report,,2024
22.0,Sun,2024-02-18,17:30,Bochum,1.7,3–2,3.3,Bayern Munich,26000.0,Vonovia Ruhrstadion,Daniel Schlager,Match Report,,2024
,,,,,,,,,,,,,,2024
23.0,Fri,2024-02-23,20:30,Leverkusen,1.1,2–1,1.1,Mainz 05,30210.0,BayArena,Timo Gerach,Match Report,,2024
23.0,Sat,2024-02-24,15:30,Union Berlin,1.1,2–2,1.1,Heidenheim,21341.0,Stadion An der Alten Försterei,Deniz Aytekin,Match Report,,2024
23.0,Sat,2024-02-24,15:30,Werder Bremen,1.8,1–1,1.0,Darmstadt 98,42358.0,Wohninvest Weserstadion,Florian Badstübner,Match Report,,2024
23.0,Sat,2024-02-24,15:30,M'Gladbach,3.5,5–2,1.6,Bochum,53196.0,Stadion im Borussia-Park,Frank Willenborg,Match Report,,2024
23.0,Sat,2024-02-24,15:30,Stuttgart,2.2,1–1,0.7,Köln,54500.0,MHPArena,Patrick Ittrich,Match Report,,2024
23.0,Sat,2024-02-24,18:30,Bayern Munich,1.5,2–1,0.9,RB Leipzig,75000.0,Allianz Arena,Sascha Stegemann,Match Report,,2024
23.0,Sun,2024-02-25,15:30,Eint Frankfurt,0.9,2–2,1.0,Wolfsburg,56500.0,Deutsche Bank Park,Daniel Schlager,Match Report,,2024
23.0,Sun,2024-02-25,17:30,Dortmund,1.9,2–3,1.3,Hoffenheim,81365.0,Signal Iduna Park,Marco Fritz,Match Report,,2024
23.0,Sun,2024-02-25,19:30,Augsburg,1.6,2–1,1.6,Freiburg,28894.0,WWK Arena,Bastian Dankert,Match Report,,2024
,,,,,,,,,,,,,,2024
24.0,Fri,2024-03-01,20:30,Freiburg,1.5,2–2,1.8,Bayern Munich,34700.0,Europa-Park Stadion,Sven Jablonski,Match Report,,2024
24.0,Sat,2024-03-02,15:30,Bochum,0.8,1–4,2.1,RB Leipzig,24200.0,Vonovia Ruhrstadion,Harm Osmers,Match Report,,2024
24.0,Sat,2024-03-02,15:30,Heidenheim,1.0,1–2,1.2,Eint Frankfurt,15000.0,Voith-Arena,Sören Storks,Match Report,,2024
24.0,Sat,2024-03-02,15:30,Mainz 05,1.0,1–1,1.0,M'Gladbach,33305.0,Mewa Arena,Robert Schröder,Match Report,,2024
24.0,Sat,2024-03-02,15:30,Union Berlin,1.2,0–2,1.6,Dortmund,22012.0,Stadion An der Alten Försterei,Christian Dingert,Match Report,,2024
24.0,Sat,2024-03-02,15:30,Darmstadt 98,0.8,0–6,2.9,Augsburg,17810.0,Merck-Stadion am Böllenfalltor,Felix Zwayer,Match Report,,2024
24.0,Sat,2024-03-02,18:30,Wolfsburg,0.8,2–3,1.1,Stuttgart,25000.0,Volkswagen Arena,Benjamin Brand,Match Report,,2024
24.0,Sun,2024-03-03,15:30,Köln,1.0,0–2,1.5,Leverkusen,50000.0,RheinEnergieSTADION,Tobias Stieler,Match Report,,2024
24.0,Sun,2024-03-03,17:30,Hoffenheim,1.7,2–1,1.3,Werder Bremen,25000.0,PreZero Arena,Matthias Jöllenbeck,Match Report,,2024
,,,,,,,,,,,,,,2024
25.0,Fri,2024-03-08,20:30,Stuttgart,1.0,2–0,0.9,Union Berlin,53800.0,MHPArena,Robert Schröder,Match Report,,2024
25.0,Sat,2024-03-09,15:30,Bayern Munich,6.2,8–1,0.8,Mainz 05,75000.0,Allianz Arena,Patrick Ittrich,Match Report,,2024
25.0,Sat,2024-03-09,15:30,RB Leipzig,3.2,2–0,0.5,Darmstadt 98,40000.0,Red Bull Arena,Robert Hartmann,Match Report,,2024
25.0,Sat,2024-03-09,15:30,M'Gladbach,1.8,3–3,0.6,Köln,54042.0,Stadion im Borussia-Park,Felix Zwayer,Match Report,,2024
25.0,Sat,2024-03-09,15:30,Augsburg,0.5,1–0,0.4,Heidenheim,30660.0,WWK Arena,Frank Willenborg,Match Report,,2024
25.0,Sat,2024-03-09,18:30,Werder Bremen,1.8,1–2,1.2,Dortmund,42100.0,Wohninvest Weserstadion,Deniz Aytekin,Match Report,,2024
25.0,Sun,2024-03-10,15:30,Bochum,1.2,1–2,1.4,Freiburg,25594.0,Vonovia Ruhrstadion,Marco Fritz,Match Report,,2024
25.0,Sun,2024-03-10,17:30,Eint Frankfurt,2.4,3–1,0.6,Hoffenheim,57000.0,Deutsche Bank Park,Bastian Dankert,Match Report,,2024
25.0,Sun,2024-03-10,19:30,Leverkusen,2.1,2–0,0.2,Wolfsburg,29314.0,BayArena,Daniel Siebert,Match Report,,2024
,,,,,,,,,,,,,,2024
26.0,Fri,2024-03-15,20:30,Köln,1.2,1–5,3.3,RB Leipzig,49000.0,RheinEnergieSTADION,Florian Badstübner,Match Report,,2024
26.0,Sat,2024-03-16,15:30,Wolfsburg,1.3,1–3,0.7,Augsburg,21735.0,Volkswagen Arena,Timo Gerach,Match Report,,2024
26.0,Sat,2024-03-16,15:30,Heidenheim,1.1,1–1,0.5,M'Gladbach,15000.0,Voith-Arena,Martin Petersen,Match Report,,2024
26.0,Sat,2024-03-16,15:30,Union Berlin,1.1,2–1,1.1,Werder Bremen,22012.0,Stadion An der Alten Försterei,Daniel Schlager,Match Report,,2024
26.0,Sat,2024-03-16,15:30,Mainz 05,2.5,2–0,0.7,Bochum,33000.0,Mewa Arena,Matthias Jöllenbeck,Match Report,,2024
26.0,Sat,2024-03-16,15:30,Darmstadt 98,1.2,2–5,3.6,Bayern Munich,17810.0,Merck-Stadion am Böllenfalltor,Tobias Reichel,Match Report,,2024
26.0,Sat,2024-03-16,18:30,Hoffenheim,0.5,0–3,3.7,Stuttgart,30150.0,PreZero Arena,Sascha Stegemann,Match Report,,2024
26.0,Sun,2024-03-17,15:30,Freiburg,0.9,2–3,2.3,Leverkusen,34700.0,Europa-Park Stadion,Harm Osmers,Match Report,,2024
26.0,Sun,2024-03-17,17:30,Dortmund,2.3,3–1,0.9,Eint Frankfurt,81365.0,Signal Iduna Park,Tobias Stieler,Match Report,,2024
,,,,,,,,,,,,,,2024
27.0,Sat,2024-03-30,15:30,Werder Bremen,0.5,0–2,2.3,Wolfsburg,41500.0,Wohninvest Weserstadion,Sascha Stegemann,Match Report,,2024
27.0,Sat,2024-03-30,15:30,Eint Frankfurt,1.0,0–0,1.5,Union Berlin,57100.0,Deutsche Bank Park,Marco Fritz,Match Report,,2024
27.0,Sat,2024-03-30,15:30,RB Leipzig,2.5,0–0,0.9,Mainz 05,44813.0,Red Bull Arena,Frank Willenborg,Match Report,,2024
27.0,Sat,2024-03-30,15:30,Leverkusen,3.1,2–1,0.8,Hoffenheim,30210.0,BayArena,Deniz Aytekin,Match Report,,2024
27.0,Sat,2024-03-30,15:30,M'Gladbach,1.5,0–3,1.7,Freiburg,53259.0,Stadion im Borussia-Park,Christian Dingert,Match Report,,2024
27.0,Sat,2024-03-30,18:30,Bayern Munich,1.5,0–2,0.9,Dortmund,75000.0,Allianz Arena,Harm Osmers,Match Report,,2024
27.0,Sun,2024-03-31,15:30,Augsburg,2.2,1–1,1.3,Köln,37660.0,WWK Arena,Sören Storks,Match Report,,2024
27.0,Sun,2024-03-31,17:30,Stuttgart,3.0,3–3,1.3,Heidenheim,60000.0,MHPArena,Felix Zwayer,Match Report,,2024
27.0,Sun,2024-03-31,19:30,Bochum,1.8,2–2,0.9,Darmstadt 98,,Vonovia Ruhrstadion,Sven Jablonski,Match Report,,2024
,,,,,,,,,,,,,,2024
28.0,Fri,2024-04-05,20:30,Eint Frankfurt,,,,Werder Bremen,,Deutsche Bank Park,,Head-to-Head,,2024
28.0,Sat,2024-04-06,15:30,Freiburg,,,,RB Leipzig,,Europa-Park Stadion,,Head-to-Head,,2024
28.0,Sat,2024-04-06,15:30,Union Berlin,,,,Leverkusen,,Stadion An der Alten Försterei,,Head-to-Head,,2024
28.0,Sat,2024-04-06,15:30,Köln,,,,Bochum,,RheinEnergieSTADION,,Head-to-Head,,2024
28.0,Sat,2024-04-06,15:30,Mainz 05,,,,Darmstadt 98,,Mewa Arena,,Head-to-Head,,2024
28.0,Sat,2024-04-06,15:30,Heidenheim,,,,Bayern Munich,,Voith-Arena,,Head-to-Head,,2024
28.0,Sat,2024-04-06,18:30,Dortmund,,,,Stuttgart,,Signal Iduna Park,,Head-to-Head,,2024
28.0,Sun,2024-04-07,15:30,Hoffenheim,,,,Augsburg,,PreZero Arena,,Head-to-Head,,2024
28.0,Sun,2024-04-07,17:30,Wolfsburg,,,,M'Gladbach,,Volkswagen Arena,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
29.0,Fri,2024-04-12,20:30,Augsburg,,,,Union Berlin,,WWK Arena,,Head-to-Head,,2024
29.0,Sat,2024-04-13,15:30,M'Gladbach,,,,Dortmund,,Stadion im Borussia-Park,,Head-to-Head,,2024
29.0,Sat,2024-04-13,15:30,Mainz 05,,,,Hoffenheim,,Mewa Arena,,Head-to-Head,,2024
29.0,Sat,2024-04-13,15:30,Bochum,,,,Heidenheim,,Vonovia Ruhrstadion,,Head-to-Head,,2024
29.0,Sat,2024-04-13,15:30,Bayern Munich,,,,Köln,,Allianz Arena,,Head-to-Head,,2024
29.0,Sat,2024-04-13,15:30,RB Leipzig,,,,Wolfsburg,,Red Bull Arena,,Head-to-Head,,2024
29.0,Sat,2024-04-13,18:30,Stuttgart,,,,Eint Frankfurt,,MHPArena,,Head-to-Head,,2024
29.0,Sun,2024-04-14,15:30,Darmstadt 98,,,,Freiburg,,Merck-Stadion am Böllenfalltor,,Head-to-Head,,2024
29.0,Sun,2024-04-14,17:30,Leverkusen,,,,Werder Bremen,,BayArena,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
30.0,Fri,2024-04-19,20:30,Eint Frankfurt,,,,Augsburg,,Deutsche Bank Park,,Head-to-Head,,2024
30.0,Sat,2024-04-20,15:30,Wolfsburg,,,,Bochum,,Volkswagen Arena,,Head-to-Head,,2024
30.0,Sat,2024-04-20,15:30,Heidenheim,,,,RB Leipzig,,Voith-Arena,,Head-to-Head,,2024
30.0,Sat,2024-04-20,15:30,Hoffenheim,,,,M'Gladbach,,PreZero Arena,,Head-to-Head,,2024
30.0,Sat,2024-04-20,15:30,Köln,,,,Darmstadt 98,,RheinEnergieSTADION,,Head-to-Head,,2024
30.0,Sat,2024-04-20,18:30,Union Berlin,,,,Bayern Munich,,Stadion An der Alten Försterei,,Head-to-Head,,2024
30.0,Sun,2024-04-21,15:30,Werder Bremen,,,,Stuttgart,,Wohninvest Weserstadion,,Head-to-Head,,2024
30.0,Sun,2024-04-21,17:30,Dortmund,,,,Leverkusen,,Signal Iduna Park,,Head-to-Head,,2024
30.0,Sun,2024-04-21,19:30,Freiburg,,,,Mainz 05,,Europa-Park Stadion,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
31.0,Fri,2024-04-26,20:30,Bochum,,,,Hoffenheim,,Vonovia Ruhrstadion,,Head-to-Head,,2024
31.0,Sat,2024-04-27,15:30,Augsburg,,,,Werder Bremen,,WWK Arena,,Head-to-Head,,2024
31.0,Sat,2024-04-27,15:30,Bayern Munich,,,,Eint Frankfurt,,Allianz Arena,,Head-to-Head,,2024
31.0,Sat,2024-04-27,15:30,Freiburg,,,,Wolfsburg,,Europa-Park Stadion,,Head-to-Head,,2024
31.0,Sat,2024-04-27,15:30,RB Leipzig,,,,Dortmund,,Red Bull Arena,,Head-to-Head,,2024
31.0,Sat,2024-04-27,18:30,Leverkusen,,,,Stuttgart,,BayArena,,Head-to-Head,,2024
31.0,Sun,2024-04-28,15:30,M'Gladbach,,,,Union Berlin,,Stadion im Borussia-Park,,Head-to-Head,,2024
31.0,Sun,2024-04-28,17:30,Mainz 05,,,,Köln,,Mewa Arena,,Head-to-Head,,2024
31.0,Sun,2024-04-28,19:30,Darmstadt 98,,,,Heidenheim,,Merck-Stadion am Böllenfalltor,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
32.0,Fri,2024-05-03,20:30,Hoffenheim,,,,RB Leipzig,,PreZero Arena,,Head-to-Head,,2024
32.0,Sat,2024-05-04,15:30,Stuttgart,,,,Bayern Munich,,MHPArena,,Head-to-Head,,2024
32.0,Sat,2024-05-04,15:30,Werder Bremen,,,,M'Gladbach,,Wohninvest Weserstadion,,Head-to-Head,,2024
32.0,Sat,2024-05-04,15:30,Dortmund,,,,Augsburg,,Signal Iduna Park,,Head-to-Head,,2024
32.0,Sat,2024-05-04,15:30,Wolfsburg,,,,Darmstadt 98,,Volkswagen Arena,,Head-to-Head,,2024
32.0,Sat,2024-05-04,18:30,Köln,,,,Freiburg,,RheinEnergieSTADION,,Head-to-Head,,2024
32.0,Sun,2024-05-05,15:30,Union Berlin,,,,Bochum,,Stadion An der Alten Försterei,,Head-to-Head,,2024
32.0,Sun,2024-05-05,17:30,Eint Frankfurt,,,,Leverkusen,,Deutsche Bank Park,,Head-to-Head,,2024
32.0,Sun,2024-05-05,19:30,Heidenheim,,,,Mainz 05,,Voith-Arena,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
33.0,Fri,2024-05-10,20:30,Augsburg,,,,Stuttgart,,WWK Arena,,Head-to-Head,,2024
33.0,Sat,2024-05-11,15:30,Köln,,,,Union Berlin,,RheinEnergieSTADION,,Head-to-Head,,2024
33.0,Sat,2024-05-11,15:30,Freiburg,,,,Heidenheim,,Europa-Park Stadion,,Head-to-Head,,2024
33.0,Sat,2024-05-11,15:30,M'Gladbach,,,,Eint Frankfurt,,Stadion im Borussia-Park,,Head-to-Head,,2024
33.0,Sat,2024-05-11,15:30,RB Leipzig,,,,Werder Bremen,,Red Bull Arena,,Head-to-Head,,2024
33.0,Sat,2024-05-11,18:30,Mainz 05,,,,Dortmund,,Mewa Arena,,Head-to-Head,,2024
33.0,Sun,2024-05-12,15:30,Darmstadt 98,,,,Hoffenheim,,Merck-Stadion am Böllenfalltor,,Head-to-Head,,2024
33.0,Sun,2024-05-12,17:30,Bayern Munich,,,,Wolfsburg,,Allianz Arena,,Head-to-Head,,2024
33.0,Sun,2024-05-12,19:30,Bochum,,,,Leverkusen,,Vonovia Ruhrstadion,,Head-to-Head,,2024
,,,,,,,,,,,,,,2024
34.0,Sat,2024-05-18,15:30,Union Berlin,,,,Freiburg,,Stadion An der Alten Försterei,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Werder Bremen,,,,Bochum,,Wohninvest Weserstadion,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Dortmund,,,,Darmstadt 98,,Signal Iduna Park,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Stuttgart,,,,M'Gladbach,,MHPArena,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Hoffenheim,,,,Bayern Munich,,PreZero Arena,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Wolfsburg,,,,Mainz 05,,Volkswagen Arena,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Leverkusen,,,,Augsburg,,BayArena,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Heidenheim,,,,Köln,,Voith-Arena,,Head-to-Head,,2024
34.0,Sat,2024-05-18,15:30,Eint Frankfurt,,,,RB Leipzig,,Deutsche Bank Park,,Head-to-Head,,2024
